   5.0000000e+01   5.0000000e+00   2.1240993e+31
   1.0000000e+02   5.0000000e+00   6.0078600e+31
   2.0000000e+02   5.0000000e+00   1.6992794e+32
   3.0000000e+02   5.0000000e+00   3.1217756e+32
   4.0000000e+02   5.0000000e+00   4.8062880e+32
   5.0000000e+02   5.0000000e+00   6.7169917e+32
   6.0000000e+02   5.0000000e+00   8.8297149e+32
   7.0000000e+02   5.0000000e+00   1.1126712e+33
   8.0000000e+02   5.0000000e+00   1.3594235e+33
   9.0000000e+02   5.0000000e+00   1.6221222e+33
   1.0000000e+03   5.0000000e+00   1.8998521e+33
   2.0000000e+03   5.0000551e+00   5.3736526e+33
   3.0000000e+03   5.0024765e+00   9.8768110e+33
   5.0000000e+03   5.0520456e+00   2.1462093e+34
   8.0000000e+03   5.2904071e+00   4.5485594e+34
   1.0000000e+04   5.5178098e+00   6.6300458e+34
   1.2500000e+04   5.8277047e+00   9.7861610e+34
   1.5000000e+04   6.1413491e+00   1.3556590e+35
   1.8000000e+04   6.5132430e+00   1.8899740e+35
   2.0000000e+04   6.7604610e+00   2.2975824e+35
   2.2500000e+04   7.0732487e+00   2.8684185e+35
   2.5000000e+04   7.3944480e+00   3.5120895e+35
   2.8000000e+04   7.7951086e+00   4.3884284e+35
   3.0000000e+04   8.0724631e+00   5.0400837e+35
